sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
202,Heartless - Wallen Album Mix,Morgan Wallen,contemporary country,2021.00,111.00,64.00,61.00,-4.00,17.00,49.00,170.00,66.00,3.00,63.00
203,Mystify,INXS,australian rock,1987.00,129.00,84.00,61.00,-6.00,11.00,40.00,198.00,1.00,4.00,62.00
204,She Wants My Money,Dominic Fike,alternative pop rock,2018.00,129.00,48.00,70.00,-7.00,9.00,42.00,134.00,77.00,5.00,62.00
205,Good as You,Kane Brown,black americana,2019.00,154.00,52.00,63.00,-6.00,14.00,77.00,192.00,40.00,4.00,62.00
206,Homesick,Kane Brown,black americana,2018.00,97.00,50.00,70.00,-9.00,23.00,41.00,205.00,46.00,3.00,62.00
207,Drunk Me,Mitchell Tenpenny,contemporary country,2018.00,176.00,80.00,50.00,-4.00,9.00,41.00,212.00,20.00,6.00,62.00
208,West Coast Love,Emotional Oranges,indie r&b,2019.00,92.00,65.00,70.00,-6.00,14.00,59.00,215.00,1.00,3.00,62.00
209,Underdog,Alicia Keys,hip pop,2020.00,90.00,73.00,66.00,-5.00,14.00,28.00,204.00,54.00,5.00,61.00
210,queen of broken hearts,blackbear,electropop,2020.00,97.00,71.00,72.00,-6.00,8.00,83.00,171.00,1.00,8.00,61.00
211,Quittin’ Time,Morgan Wallen,contemporary country,2021.00,84.00,63.00,42.00,-8.00,19.00,46.00,225.00,46.00,4.00,61.00
212,Sexy Villain,Remi Wolf,indie pop,2021.00,120.00,54.00,77.00,-5.00,10.00,89.00,189.00,40.00,5.00,61.00
213,Slow Down,Selena Gomez,dance pop,2013.00,128.00,82.00,72.00,-4.00,63.00,72.00,210.00,7.00,17.00,61.00
214,Josslyn,Olivia O'Brien,alt z,2020.00,85.00,74.00,43.00,-6.00,71.00,34.00,189.00,1.00,15.00,60.00
215,Vampire,Dominic Fike,alternative pop rock,2020.00,98.00,74.00,79.00,-5.00,11.00,70.00,186.00,33.00,9.00,60.00
216,Grey,Why Don't We,boy band,2021.00,171.00,30.00,30.00,-9.00,11.00,20.00,278.00,87.00,3.00,60.00
217,Hotel,Claire Rosinkranz,alt z,2021.00,134.00,66.00,86.00,-6.00,56.00,95.00,135.00,48.00,8.00,60.00
218,One Mississippi,Kane Brown,black americana,2021.00,100.00,85.00,47.00,-5.00,14.00,54.00,214.00,0.00,4.00,60.00
219,Refrigerator Door,Luke Combs,contemporary country,2019.00,75.00,86.00,46.00,-4.00,31.00,62.00,204.00,1.00,6.00,60.00
